region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
South America,Chile,Cereal,Online,C,21-07-2010,668958730,24-07-2010,3549,205.7,117.11,730029.3,415623.39,314405.91
South America,Chile,Clothes,Online,H,17-12-2010,532515704,24-12-2010,7184,109.28,35.84,785067.52,257474.56,527592.96
Asia,Japan,Personal Care,Online,H,03-03-2012,537252653,13-03-2012,8838,81.73,56.67,722329.74,500849.46,221480.28
North America,Mexico,Household,Online,L,05-12-2017,926978622,13-12-2017,4515,668.27,502.54,3017239.05,2268968.1,748270.95
Australia and Oceania,Fiji,Household,Offline,L,12-07-2012,584289786,19-07-2012,5485,668.27,502.54,3665460.95,2756431.9,909029.05
Africa,Egypt,Personal Care,Online,C,28-10-2011,703725712,30-10-2011,1073,81.73,56.67,87696.29,60806.91,26889.38
North America,Mexico,Snacks,Online,L,21-05-2011,830283367,24-05-2011,6753,152.58,97.44,1030372.74,658012.32,372360.42
Europe,Spain,Snacks,Offline,C,06-06-2016,606579630,15-06-2016,8345,152.58,97.44,1273280.1,813136.8,460143.3
Australia and Oceania,Australia,Cosmetics,Online,C,16-06-2013,231552852,17-06-2013,4858,437.2,263.33,2123917.6,1279257.14,844660.46
Europe,France,Fruits,Offline,L,21-12-2012,890021771,28-12-2012,8186,9.33,6.92,76375.38,56647.12,19728.26
Europe,Germany,Snacks,Offline,H,23-05-2015,905560992,27-05-2015,2873,152.58,97.44,438362.34,279945.12,158417.22
North America,United States,Cereal,Offline,C,20-10-2010,501652424,27-10-2010,8937,205.7,117.11,1838340.9,1046612.07,791728.83
Asia,Japan,Household,Offline,H,31-05-2014,187110348,08-06-2014,7392,668.27,502.54,4939851.84,3714775.68,1225076.16
Asia,Singapore,Beverages,Online,L,12-07-2014,453390403,13-07-2014,9222,47.45,31.79,437583.9,293167.38,144416.52
Asia,China,Office Supplies,Offline,H,04-04-2015,468146318,07-04-2015,4908,651.21,524.96,3196138.68,2576503.68,619635
Africa,Libya,Fruits,Offline,L,27-02-2014,889141831,01-03-2014,6497,9.33,6.92,60617.01,44959.24,15657.77
South America,Chile,Fruits,Offline,M,04-11-2010,770911025,09-11-2010,3306,9.33,6.92,30844.98,22877.52,7967.46
Africa,Libya,Personal Care,Online,C,09-01-2010,200466857,17-01-2010,990,81.73,56.67,80912.7,56103.3,24809.4
Europe,Italy,Office Supplies,Online,M,19-01-2017,423820897,29-01-2017,332,651.21,524.96,216201.72,174286.72,41915
North America,Mexico,Vegetables,Online,C,08-06-2010,396905266,13-06-2010,7101,154.06,90.93,1093980.06,645693.93,448286.13
Australia and Oceania,New Zealand,Household,Offline,H,15-06-2010,312272677,21-06-2010,4847,668.27,502.54,3239104.69,2435811.38,803293.31
Australia and Oceania,New Zealand,Personal Care,Offline,L,24-04-2014,202612033,25-04-2014,7684,81.73,56.67,628013.32,435452.28,192561.04
North America,Canada,Cereal,Offline,L,09-10-2014,850542751,15-10-2014,6207,205.7,117.11,1276779.9,726901.77,549878.13
South America,Brazil,Household,Online,M,21-04-2017,280113965,27-04-2017,5365,668.27,502.54,3585268.55,2696127.1,889141.45
South America,Brazil,Office Supplies,Offline,H,06-09-2017,166306398,08-09-2017,1694,651.21,524.96,1103149.74,889282.24,213867.5
Asia,India,Clothes,Offline,M,31-03-2010,853793883,09-04-2010,3437,109.28,35.84,375595.36,123182.08,252413.28
Asia,Singapore,Cereal,Online,L,01-02-2015,707920165,02-02-2015,3544,205.7,117.11,729000.8,415037.84,313962.96
South America,Chile,Fruits,Online,L,29-03-2014,104574106,05-04-2014,1146,9.33,6.92,10692.18,7930.32,2761.86
Australia and Oceania,New Zealand,Baby Food,Online,M,09-09-2012,695198729,17-09-2012,6653,255.28,159.42,1698377.84,1060621.26,637756.58
Africa,Libya,Personal Care,Offline,C,13-02-2012,736605795,16-02-2012,4637,81.73,56.67,378982.01,262778.79,116203.22
North America,Mexico,Baby Food,Online,M,06-06-2016,503009248,07-06-2016,5659,255.28,159.42,1444629.52,902157.78,542471.74
Australia and Oceania,Fiji,Vegetables,Offline,C,09-03-2014,866177927,13-03-2014,2426,154.06,90.93,373749.56,220596.18,153153.38
Africa,Egypt,Office Supplies,Offline,H,09-05-2017,373609686,10-05-2017,4918,651.21,524.96,3202650.78,2581753.28,620897.5
Africa,Libya,Beverages,Online,L,14-03-2016,183210641,24-03-2016,305,47.45,31.79,14472.25,9695.95,4776.3
Africa,Libya,Baby Food,Offline,L,08-11-2015,846464969,14-11-2015,3846,255.28,159.42,981806.88,613129.32,368677.56
Europe,Spain,Personal Care,Offline,M,29-08-2012,385485716,08-09-2012,8124,81.73,56.67,663974.52,460387.08,203587.44
Asia,Singapore,Household,Online,C,17-08-2011,316969123,22-08-2011,9956,668.27,502.54,6653296.12,5003288.24,1650007.88
North America,Mexico,Cosmetics,Online,C,15-09-2010,928865510,17-09-2010,8788,437.2,263.33,3842113.6,2314144.04,1527969.56
South America,Argentina,Beverages,Offline,C,10-09-2013,742597394,13-09-2013,149,47.45,31.79,7070.05,4736.71,2333.34
South America,Brazil,Household,Offline,M,01-10-2012,905686139,08-10-2012,6926,668.27,502.54,4628438.02,3480592.04,1147845.98
North America,United States,Beverages,Online,C,24-09-2012,595559758,25-09-2012,7586,47.45,31.79,359955.7,241158.94,118796.76
South America,Chile,Vegetables,Offline,M,25-06-2014,504081858,28-06-2014,3270,154.06,90.93,503776.2,297341.1,206435.1
Asia,China,Clothes,Offline,L,23-05-2013,404625389,31-05-2013,8173,109.28,35.84,893145.44,292920.32,600225.12
South America,Argentina,Beverages,Offline,M,27-06-2012,465585105,01-07-2012,3252,47.45,31.79,154307.4,103381.08,50926.32
Asia,Japan,Cereal,Offline,L,12-01-2016,591157904,18-01-2016,1653,205.7,117.11,340022.1,193582.83,146439.27
Asia,China,Cereal,Online,H,05-03-2013,137597280,12-03-2013,6060,205.7,117.11,1246542,709686.6,536855.4
Australia and Oceania,Fiji,Fruits,Offline,H,19-11-2014,629031538,25-11-2014,3825,9.33,6.92,35687.25,26469,9218.25
North America,United States,Household,Offline,C,25-09-2010,678871253,02-10-2010,5000,668.27,502.54,3341350,2512700,828650
Australia and Oceania,New Zealand,Personal Care,Online,C,21-10-2011,528325370,30-10-2011,2401,81.73,56.67,196233.73,136064.67,60169.06
South America,Brazil,Household,Offline,L,21-07-2017,850131371,29-07-2017,6354,668.27,502.54,4246187.58,3193139.16,1053048.42
Europe,Italy,Cereal,Online,M,16-08-2015,260931457,26-08-2015,6468,205.7,117.11,1330467.6,757467.48,573000.12
Europe,France,Beverages,Offline,L,26-05-2016,535871410,04-06-2016,2131,47.45,31.79,101115.95,67744.49,33371.46
North America,United States,Snacks,Online,H,17-03-2015,141377459,26-03-2015,1126,152.58,97.44,171805.08,109717.44,62087.64
South America,Brazil,Cosmetics,Offline,C,25-12-2010,655470486,26-12-2010,4681,437.2,263.33,2046533.2,1232647.73,813885.47
Australia and Oceania,New Zealand,Beverages,Online,H,21-03-2013,911159844,23-03-2013,8741,47.45,31.79,414760.45,277876.39,136884.06
North America,Mexico,Beverages,Online,M,13-04-2011,313547803,19-04-2011,938,47.45,31.79,44508.1,29819.02,14689.08
South America,Argentina,Baby Food,Offline,L,08-01-2011,648814359,14-01-2011,2767,255.28,159.42,706359.76,441115.14,265244.62
Europe,Germany,Vegetables,Offline,C,03-06-2016,787833224,08-06-2016,1785,154.06,90.93,274997.1,162310.05,112687.05
Asia,India,Personal Care,Offline,L,21-10-2016,797643478,25-10-2016,222,81.73,56.67,18144.06,12580.74,5563.32
North America,United States,Beverages,Online,L,24-05-2013,352693749,03-06-2013,4352,47.45,31.79,206502.4,138350.08,68152.32
South America,Argentina,Household,Offline,M,03-11-2010,354711580,09-11-2010,5359,668.27,502.54,3581258.93,2693111.86,888147.07
Asia,Singapore,Cereal,Offline,L,28-06-2014,382287321,02-07-2014,1046,205.7,117.11,215162.2,122497.06,92665.14
Europe,Spain,Office Supplies,Offline,C,28-07-2010,778853953,29-07-2010,9985,651.21,524.96,6502331.85,5241725.6,1260606.25
Asia,Singapore,Fruits,Offline,L,05-08-2010,389847169,15-08-2010,5667,9.33,6.92,52873.11,39215.64,13657.47
North America,Canada,Snacks,Online,M,29-12-2016,683356313,08-01-2017,5223,152.58,97.44,796925.34,508929.12,287996.22
Africa,Nigeria,Vegetables,Online,L,29-12-2011,103874895,31-12-2011,9137,154.06,90.93,1407646.22,830827.41,576818.81
Africa,Libya,Vegetables,Online,L,31-12-2015,732857683,03-01-2016,4798,154.06,90.93,739179.88,436282.14,302897.74
Europe,Spain,Beverages,Online,M,25-05-2011,664968744,30-05-2011,4180,47.45,31.79,198341,132882.2,65458.8
Australia and Oceania,Australia,Clothes,Offline,L,16-04-2017,993508470,23-04-2017,4807,109.28,35.84,525308.96,172282.88,353026.08
Asia,China,Baby Food,Online,M,14-12-2017,342799671,22-12-2017,2424,255.28,159.42,618798.72,386434.08,232364.64
Asia,Singapore,Vegetables,Offline,H,14-08-2010,870884106,17-08-2010,9812,154.06,90.93,1511636.72,892205.16,619431.56
South America,Brazil,Cereal,Offline,M,27-11-2015,368327357,07-12-2015,6211,205.7,117.11,1277602.7,727370.21,550232.49
Europe,France,Cosmetics,Online,L,08-12-2017,644437921,15-12-2017,4300,437.2,263.33,1879960,1132319,747641
North America,United States,Fruits,Offline,C,12-11-2015,407713103,14-11-2015,9644,9.33,6.92,89978.52,66736.48,23242.04
South America,Brazil,Cereal,Online,H,12-12-2015,445636446,22-12-2015,1124,205.7,117.11,231206.8,131631.64,99575.16
North America,Mexico,Vegetables,Offline,M,23-09-2016,349526860,26-09-2016,9435,154.06,90.93,1453556.1,857924.55,595631.55
Africa,Nigeria,Cereal,Offline,M,13-10-2010,667730275,19-10-2010,6122,205.7,117.11,1259295.4,716947.42,542347.98
North America,United States,Baby Food,Offline,H,16-09-2014,271265935,19-09-2014,3666,255.28,159.42,935856.48,584433.72,351422.76
North America,United States,Baby Food,Online,M,15-01-2012,398013312,22-01-2012,2782,255.28,159.42,710188.96,443506.44,266682.52
Australia and Oceania,Australia,Personal Care,Offline,C,21-04-2014,202135741,27-04-2014,9848,81.73,56.67,804877.04,558086.16,246790.88
North America,Mexico,Beverages,Offline,M,24-05-2015,779962436,30-05-2015,2337,47.45,31.79,110890.65,74293.23,36597.42
Asia,China,Fruits,Offline,C,30-08-2013,310434382,09-09-2013,5281,9.33,6.92,49271.73,36544.52,12727.21
North America,Canada,Beverages,Offline,M,15-08-2012,406213436,18-08-2012,9402,47.45,31.79,446124.9,298889.58,147235.32
Australia and Oceania,Fiji,Cereal,Offline,C,28-04-2010,275981083,07-05-2010,8683,205.7,117.11,1786093.1,1016866.13,769226.97
South America,Argentina,Office Supplies,Online,C,07-04-2011,484686939,17-04-2011,3082,651.21,524.96,2007029.22,1617926.72,389102.5
Europe,Italy,Personal Care,Offline,C,27-06-2016,108984462,07-07-2016,6922,81.73,56.67,565735.06,392269.74,173465.32
Africa,Libya,Clothes,Online,L,22-04-2014,575004654,23-04-2014,2199,109.28,35.84,240306.72,78812.16,161494.56
Australia and Oceania,New Zealand,Fruits,Online,H,26-03-2013,984781432,02-04-2013,4474,9.33,6.92,41742.42,30960.08,10782.34
Europe,Germany,Personal Care,Offline,C,04-03-2012,363961497,05-03-2012,2001,81.73,56.67,163541.73,113396.67,50145.06
South America,Argentina,Household,Online,L,05-10-2017,182066556,06-10-2017,1053,668.27,502.54,703688.31,529174.62,174513.69
Africa,Egypt,Personal Care,Online,L,08-11-2015,460876301,16-11-2015,2772,81.73,56.67,226555.56,157089.24,69466.32
Australia and Oceania,Fiji,Fruits,Online,M,01-10-2011,927967487,04-10-2011,3893,9.33,6.92,36321.69,26939.56,9382.13
Europe,Germany,Fruits,Online,L,05-09-2016,819343004,06-09-2016,2018,9.33,6.92,18827.94,13964.56,4863.38
North America,Canada,Baby Food,Offline,H,21-01-2016,506428601,23-01-2016,6358,255.28,159.42,1623070.24,1013592.36,609477.88
South America,Chile,Office Supplies,Offline,M,25-02-2015,365364376,26-02-2015,8866,651.21,524.96,5773627.86,4654295.36,1119332.5
Europe,France,Fruits,Online,L,16-09-2017,989581197,22-09-2017,3188,9.33,6.92,29744.04,22060.96,7683.08
South America,Argentina,Clothes,Offline,L,25-12-2013,569807435,31-12-2013,8147,109.28,35.84,890304.16,291988.48,598315.68
Australia and Oceania,New Zealand,Baby Food,Online,L,22-02-2014,309160266,27-02-2014,6730,255.28,159.42,1718034.4,1072896.6,645137.8
Asia,Singapore,Office Supplies,Offline,M,03-06-2011,677304505,05-06-2011,4388,651.21,524.96,2857509.48,2303524.48,553985
Australia and Oceania,Fiji,Snacks,Online,M,22-07-2016,229306201,23-07-2016,1491,152.58,97.44,227496.78,145283.04,82213.74
Africa,Egypt,Beverages,Offline,C,05-04-2016,746611001,07-04-2016,1796,47.45,31.79,85220.2,57094.84,28125.36
South America,Argentina,Personal Care,Online,C,11-05-2010,606809867,12-05-2010,4582,81.73,56.67,374486.86,259661.94,114824.92
Australia and Oceania,Australia,Household,Offline,M,09-01-2014,853013336,10-01-2014,3974,668.27,502.54,2655704.98,1997093.96,658611.02
Africa,Nigeria,Vegetables,Online,H,23-05-2015,822747627,25-05-2015,8615,154.06,90.93,1327226.9,783361.95,543864.95
Australia and Oceania,Fiji,Fruits,Online,M,24-08-2010,402722205,26-08-2010,1387,9.33,6.92,12940.71,9598.04,3342.67
North America,Mexico,Vegetables,Offline,H,05-03-2011,465723012,07-03-2011,7397,154.06,90.93,1139581.82,672609.21,466972.61
Asia,India,Cereal,Offline,L,11-07-2013,397918860,15-07-2013,9633,205.7,117.11,1981508.1,1128120.63,853387.47
Europe,Italy,Cosmetics,Online,M,18-09-2010,241310399,21-09-2010,4449,437.2,263.33,1945102.8,1171555.17,773547.63
Europe,Italy,Baby Food,Offline,M,22-12-2015,441589526,26-12-2015,7210,255.28,159.42,1840568.8,1149418.2,691150.6
Asia,China,Snacks,Online,M,03-10-2010,382870143,06-10-2010,1841,152.58,97.44,280899.78,179387.04,101512.74
Australia and Oceania,Australia,Personal Care,Offline,H,26-01-2015,165312752,27-01-2015,5482,81.73,56.67,448043.86,310664.94,137378.92
Europe,Germany,Cereal,Online,L,24-01-2016,413445065,26-01-2016,1868,205.7,117.11,384247.6,218761.48,165486.12
Australia and Oceania,Fiji,Clothes,Offline,H,06-04-2015,952424820,13-04-2015,9250,109.28,35.84,1010840,331520,679320
North America,Canada,Fruits,Offline,L,17-06-2017,250076726,23-06-2017,2734,9.33,6.92,25508.22,18919.28,6588.94
Australia and Oceania,New Zealand,Beverages,Online,H,21-01-2014,742107124,22-01-2014,1694,47.45,31.79,80380.3,53852.26,26528.04
Asia,India,Personal Care,Offline,L,26-12-2014,212755116,30-12-2014,6132,81.73,56.67,501168.36,347500.44,153667.92
Africa,Nigeria,Personal Care,Offline,L,26-10-2017,500009673,28-10-2017,3913,81.73,56.67,319809.49,221749.71,98059.78
South America,Chile,Beverages,Online,L,11-03-2014,390875732,17-03-2014,2063,47.45,31.79,97889.35,65582.77,32306.58
Europe,Spain,Fruits,Offline,M,14-04-2012,161060588,22-04-2012,6790,9.33,6.92,63350.7,46986.8,16363.9
North America,Canada,Household,Offline,M,14-09-2016,101601551,17-09-2016,799,668.27,502.54,533947.73,401529.46,132418.27
North America,Canada,Cereal,Online,M,10-06-2017,955455678,11-06-2017,5829,205.7,117.11,1199025.3,682634.19,516391.11
Europe,Spain,Baby Food,Online,L,02-09-2014,111702290,12-09-2014,3079,255.28,159.42,786007.12,490854.18,295152.94
Australia and Oceania,Australia,Office Supplies,Online,M,02-03-2013,778251249,06-03-2013,4643,651.21,524.96,3023568.03,2437389.28,586178.75
Australia and Oceania,New Zealand,Household,Offline,C,16-11-2016,817564735,17-11-2016,3233,668.27,502.54,2160516.91,1624711.82,535805.09
Africa,Egypt,Snacks,Offline,C,12-04-2017,336674594,19-04-2017,8792,152.58,97.44,1341483.36,856692.48,484790.88
North America,Canada,Vegetables,Online,C,30-09-2017,755091459,10-10-2017,4876,154.06,90.93,751196.56,443374.68,307821.88
North America,United States,Vegetables,Online,L,20-02-2016,644945704,23-02-2016,7364,154.06,90.93,1134497.84,669608.52,464889.32
Africa,Egypt,Personal Care,Offline,C,22-10-2011,240196980,28-10-2011,9130,81.73,56.67,746194.9,517397.1,228797.8
South America,Argentina,Personal Care,Offline,M,20-04-2015,151167957,27-04-2015,9950,81.73,56.67,813213.5,563866.5,249347
Europe,Germany,Office Supplies,Offline,H,28-12-2012,859095883,30-12-2012,9839,651.21,524.96,6407255.19,5165081.44,1242173.75
Australia and Oceania,Fiji,Vegetables,Online,M,18-02-2010,428333930,27-02-2010,4808,154.06,90.93,740720.48,437191.44,303529.04
North America,Mexico,Clothes,Offline,M,06-01-2013,136995503,08-01-2013,5696,109.28,35.84,622458.88,204144.64,418314.24
North America,United States,Snacks,Offline,C,10-11-2014,176156709,14-11-2014,110,152.58,97.44,16783.8,10718.4,6065.4
South America,Brazil,Snacks,Online,C,27-08-2011,720028718,03-09-2011,3987,152.58,97.44,608336.46,388493.28,219843.18
Australia and Oceania,Fiji,Clothes,Online,H,18-10-2012,300986918,20-10-2012,730,109.28,35.84,79774.4,26163.2,53611.2
North America,United States,Personal Care,Offline,C,29-01-2014,943835310,03-02-2014,4473,81.73,56.67,365578.29,253484.91,112093.38
Australia and Oceania,Fiji,Household,Offline,H,31-12-2012,352366979,09-01-2013,1093,668.27,502.54,730419.11,549276.22,181142.89
Australia and Oceania,New Zealand,Household,Offline,M,04-02-2017,209558493,09-02-2017,414,668.27,502.54,276663.78,208051.56,68612.22
Africa,Libya,Personal Care,Offline,C,11-04-2015,484862196,17-04-2015,9402,81.73,56.67,768425.46,532811.34,235614.12
Asia,India,Household,Offline,C,14-02-2010,120410969,17-02-2010,9976,668.27,502.54,6666661.52,5013339.04,1653322.48
Asia,Japan,Cosmetics,Offline,L,16-01-2015,380850309,18-01-2015,4292,437.2,263.33,1876462.4,1130212.36,746250.04
North America,Mexico,Baby Food,Offline,H,21-08-2014,728530389,30-08-2014,203,255.28,159.42,51821.84,32362.26,19459.58
North America,Canada,Cosmetics,Offline,L,22-04-2014,750306504,29-04-2014,3169,437.2,263.33,1385486.8,834492.77,550994.03
Australia and Oceania,New Zealand,Vegetables,Offline,H,29-04-2017,256141763,03-05-2017,9364,154.06,90.93,1442617.84,851468.52,591149.32
Europe,Spain,Office Supplies,Offline,C,10-07-2012,905558188,13-07-2012,9789,651.21,524.96,6374694.69,5138833.44,1235861.25
North America,Mexico,Snacks,Online,C,04-06-2012,942308018,07-06-2012,9184,152.58,97.44,1401294.72,894888.96,506405.76
Europe,Italy,Personal Care,Offline,L,18-09-2010,533906664,19-09-2010,868,81.73,56.67,70941.64,49189.56,21752.08
Europe,Germany,Household,Online,H,07-06-2013,910702854,11-06-2013,8655,668.27,502.54,5783876.85,4349483.7,1434393.15
Australia and Oceania,New Zealand,Clothes,Online,H,10-07-2011,331274096,15-07-2011,7886,109.28,35.84,861782.08,282634.24,579147.84
Asia,Japan,Household,Offline,L,14-05-2014,418966364,17-05-2014,3874,668.27,502.54,2588877.98,1946839.96,642038.02
Europe,Spain,Office Supplies,Offline,C,02-01-2016,640459542,04-01-2016,5905,651.21,524.96,3845395.05,3099888.8,745506.25
North America,Mexico,Baby Food,Online,L,25-11-2012,766130269,04-12-2012,4206,255.28,159.42,1073707.68,670520.52,403187.16
Australia and Oceania,Australia,Fruits,Online,L,08-11-2014,268072139,10-11-2014,3735,9.33,6.92,34847.55,25846.2,9001.35
Australia and Oceania,Australia,Cosmetics,Offline,L,01-01-2013,294618357,06-01-2013,4925,437.2,263.33,2153210,1296900.25,856309.75
Australia and Oceania,New Zealand,Household,Online,C,24-12-2017,582461104,03-01-2018,8390,668.27,502.54,5606785.3,4216310.6,1390474.7
Asia,China,Beverages,Online,M,02-04-2016,443186895,06-04-2016,1531,47.45,31.79,72645.95,48670.49,23975.46
South America,Chile,Household,Offline,L,23-02-2017,995817772,24-02-2017,3704,668.27,502.54,2475272.08,1861408.16,613863.92
North America,Canada,Office Supplies,Offline,M,24-08-2017,666350155,25-08-2017,8939,651.21,524.96,5821166.19,4692617.44,1128548.75
South America,Argentina,Cosmetics,Offline,M,31-10-2013,968422773,06-11-2013,5457,437.2,263.33,2385800.4,1436991.81,948808.59
Europe,France,Vegetables,Offline,H,31-10-2015,621479599,04-11-2015,8948,154.06,90.93,1378528.88,813641.64,564887.24
Africa,Kenya,Clothes,Offline,L,30-01-2017,504742429,01-02-2017,6053,109.28,35.84,661471.84,216939.52,444532.32
Asia,Singapore,Cereal,Online,H,26-11-2017,370120992,01-12-2017,4140,205.7,117.11,851598,484835.4,366762.6
North America,Canada,Beverages,Online,C,17-05-2012,528754098,27-05-2012,3696,47.45,31.79,175375.2,117495.84,57879.36
South America,Brazil,Vegetables,Offline,H,13-02-2016,166911191,21-02-2016,349,154.06,90.93,53766.94,31734.57,22032.37
South America,Chile,Baby Food,Online,H,12-03-2017,362999198,21-03-2017,223,255.28,159.42,56927.44,35550.66,21376.78
South America,Chile,Household,Online,C,05-04-2017,277453751,14-04-2017,2409,668.27,502.54,1609862.43,1210618.86,399243.57
Europe,France,Fruits,Online,C,27-04-2016,602638203,03-05-2016,3591,9.33,6.92,33504.03,24849.72,8654.31
Europe,Italy,Beverages,Offline,C,14-03-2011,594831039,16-03-2011,450,47.45,31.79,21352.5,14305.5,7047
North America,Mexico,Vegetables,Offline,C,22-05-2014,592259004,01-06-2014,8741,154.06,90.93,1346638.46,794819.13,551819.33
Asia,China,Baby Food,Offline,M,27-03-2014,760262348,01-04-2014,1953,255.28,159.42,498561.84,311347.26,187214.58
Asia,China,Office Supplies,Offline,C,06-04-2017,351824887,16-04-2017,5070,651.21,524.96,3301634.7,2661547.2,640087.5
Australia and Oceania,New Zealand,Vegetables,Online,L,25-10-2010,397219989,30-10-2010,6933,154.06,90.93,1068097.98,630417.69,437680.29
South America,Brazil,Household,Offline,M,12-03-2014,115904661,20-03-2014,7742,668.27,502.54,5173746.34,3890664.68,1283081.66
South America,Brazil,Personal Care,Offline,C,29-03-2011,998687340,02-04-2011,895,81.73,56.67,73148.35,50719.65,22428.7
South America,Argentina,Personal Care,Offline,H,29-04-2014,179293654,01-05-2014,592,81.73,56.67,48384.16,33548.64,14835.52
Europe,Germany,Clothes,Offline,M,29-12-2012,536917548,05-01-2013,7971,109.28,35.84,871070.88,285680.64,585390.24
North America,Mexico,Baby Food,Offline,C,10-02-2013,253850588,13-02-2013,7416,255.28,159.42,1893156.48,1182258.72,710897.76
North America,United States,Snacks,Offline,H,14-02-2011,599453762,15-02-2011,8930,152.58,97.44,1362539.4,870139.2,492400.2
Asia,India,Baby Food,Offline,H,24-01-2013,413145110,27-01-2013,6488,255.28,159.42,1656256.64,1034316.96,621939.68
Africa,Kenya,Vegetables,Offline,C,13-09-2010,695107468,19-09-2010,1130,154.06,90.93,174087.8,102750.9,71336.9
Australia and Oceania,Fiji,Baby Food,Online,L,14-12-2017,277709119,20-12-2017,1855,255.28,159.42,473544.4,295724.1,177820.3
North America,Mexico,Clothes,Online,H,02-07-2013,283668958,03-07-2013,6053,109.28,35.84,661471.84,216939.52,444532.32
North America,Canada,Office Supplies,Offline,H,29-08-2015,881823194,31-08-2015,6517,651.21,524.96,4243935.57,3421164.32,822771.25
Asia,Singapore,Cosmetics,Offline,L,07-01-2016,822363299,13-01-2016,6882,437.2,263.33,3008810.4,1812237.06,1196573.34
Australia and Oceania,Australia,Beverages,Offline,M,03-01-2013,499724218,11-01-2013,797,47.45,31.79,37817.65,25336.63,12481.02
Europe,Spain,Personal Care,Online,H,26-07-2014,159286555,30-07-2014,429,81.73,56.67,35062.17,24311.43,10750.74
South America,Brazil,Office Supplies,Offline,L,17-11-2016,695003136,27-11-2016,8265,651.21,524.96,5382250.65,4338794.4,1043456.25
Africa,Nigeria,Vegetables,Online,M,26-09-2016,317094536,04-10-2016,7748,154.06,90.93,1193656.88,704525.64,489131.24
South America,Argentina,Cosmetics,Offline,L,15-10-2014,338089794,25-10-2014,6916,437.2,263.33,3023675.2,1821190.28,1202484.92
Asia,China,Fruits,Offline,L,09-01-2017,666246076,10-01-2017,7366,9.33,6.92,68724.78,50972.72,17752.06
South America,Chile,Fruits,Online,L,29-03-2011,197242326,07-04-2011,4797,9.33,6.92,44756.01,33195.24,11560.77
Australia and Oceania,New Zealand,Personal Care,Offline,M,08-08-2017,124733512,12-08-2017,740,81.73,56.67,60480.2,41935.8,18544.4
Australia and Oceania,Fiji,Clothes,Online,H,02-10-2015,634915402,07-10-2015,5388,109.28,35.84,588800.64,193105.92,395694.72
North America,Mexico,Snacks,Offline,H,21-11-2016,841610229,23-11-2016,8349,152.58,97.44,1273890.42,813526.56,460363.86
Asia,China,Snacks,Online,H,27-07-2014,672052349,31-07-2014,9393,152.58,97.44,1433183.94,915253.92,517930.02
Africa,Nigeria,Fruits,Offline,M,16-07-2014,733674269,20-07-2014,444,9.33,6.92,4142.52,3072.48,1070.04
Australia and Oceania,Fiji,Cereal,Online,C,21-10-2011,425607042,22-10-2011,8558,205.7,117.11,1760380.6,1002227.38,758153.22
South America,Brazil,Clothes,Offline,M,10-11-2013,420533666,18-11-2013,1412,109.28,35.84,154303.36,50606.08,103697.28
South America,Argentina,Personal Care,Offline,H,26-11-2014,593843088,29-11-2014,6001,81.73,56.67,490461.73,340076.67,150385.06
Africa,Kenya,Household,Offline,C,27-05-2014,592102115,29-05-2014,1906,668.27,502.54,1273722.62,957841.24,315881.38
South America,Chile,Personal Care,Online,C,22-09-2012,326665189,26-09-2012,6044,81.73,56.67,493976.12,342513.48,151462.64
Africa,Kenya,Snacks,Online,L,03-05-2015,661930085,12-05-2015,2880,152.58,97.44,439430.4,280627.2,158803.2
Europe,Spain,Baby Food,Online,L,20-04-2012,320874981,25-04-2012,5498,255.28,159.42,1403529.44,876491.16,527038.28
Europe,Italy,Fruits,Online,M,12-02-2012,188706624,13-02-2012,7031,9.33,6.92,65599.23,48654.52,16944.71
Australia and Oceania,Fiji,Baby Food,Offline,L,01-01-2015,939056223,08-01-2015,3823,255.28,159.42,975935.44,609462.66,366472.78
Asia,Japan,Household,Online,H,03-11-2015,388452201,10-11-2015,251,668.27,502.54,167735.77,126137.54,41598.23
Africa,Kenya,Cosmetics,Offline,C,15-03-2011,317022190,19-03-2011,3271,437.2,263.33,1430081.2,861352.43,568728.77
North America,United States,Beverages,Offline,C,20-07-2013,672434070,21-07-2013,3700,47.45,31.79,175565,117623,57942
Australia and Oceania,Fiji,Snacks,Offline,C,18-02-2011,440547959,26-02-2011,837,152.58,97.44,127709.46,81557.28,46152.18
North America,United States,Cosmetics,Offline,M,11-06-2010,833706883,17-06-2010,6441,437.2,263.33,2816005.2,1696108.53,1119896.67
Australia and Oceania,Australia,Snacks,Online,H,01-10-2015,947206994,03-10-2015,1129,152.58,97.44,172262.82,110009.76,62253.06
Asia,China,Cereal,Offline,L,19-07-2015,238006330,24-07-2015,6419,205.7,117.11,1320388.3,751729.09,568659.21
Africa,Egypt,Personal Care,Offline,M,16-06-2012,743151033,18-06-2012,9855,81.73,56.67,805449.15,558482.85,246966.3
South America,Brazil,Personal Care,Offline,H,28-01-2012,211204559,01-02-2012,9224,81.73,56.67,753877.52,522724.08,231153.44
South America,Brazil,Household,Online,H,29-09-2013,944228615,05-10-2013,2371,668.27,502.54,1584468.17,1191522.34,392945.83
Asia,Japan,Baby Food,Online,H,14-11-2013,967489256,20-11-2013,5218,255.28,159.42,1332051.04,831853.56,500197.48
South America,Chile,Fruits,Online,H,01-12-2012,447597446,09-12-2012,6398,9.33,6.92,59693.34,44274.16,15419.18
